"num" "sf" "shift" "Temp" "LM" "MW" "C" "N" "Rh" "O" "cansmi" "envlab" "ref"
"24" "RhMan0925-CMP34" "C52H101NaP4Rh" "-632" 298 "THF-d8" 976.148654000002 52 0 1 0 "C1CCC(CC1)P1(CCP([Rh]21P(CCP2(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1)C1CCCCC1.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"25" "RhMan0925-CMP43" "C2H4O8Rh" "1050" 298 "H2O" 258.95386 2 0 1 8 "O=C1[O][Rh]([O]C1=O)([OH])([OH])([OH])[OH]" "O10O10O10O 9O 9O10" "https://doi.org/10.1107/S205252062101115X"
"26" "RhMan0925-CMP44" "C4H6O10Rh" "667" 298 "H2O" 316.98994 4 0 1 10 "OC1O[Rh]2([OH])([OH])([O]C(C(=O)[O]2)O)OC1=O" "O10O10O 9O 9O 1O 1" "https://doi.org/10.1107/S205252062101115X"
"27" "RhMan0925-CMP45" "C4H6O10Rh" "643" 298 "H2O" 316.98994 4 0 1 10 "OC1O[Rh]2([OH])([OH])([O]C(C(=O)[O]2)O)OC1=O" "O10O 9O 9O 1O 1O10" "https://doi.org/10.1107/S205252062101115X"
"28" "RhMan0925-CMP46" "C6H6O12Rh" "267" 298 "H2O" 373.01014 6 0 1 12 "OC1O[Rh]23([O]C(C(=O)[O]3)O)(OC1=O)OC(C(=O)O2)O" "O9O9O1O1O1O1" "https://doi.org/10.1107/S205252062101115X"
"29" "RhMan0925-CMP69" "C9H8BiF12O8Rh" "6858" 298 "CD3CN" 784.0217584 9 0 1 8 "COC(C(F)(F)F)O[Rh]123OC(O[BiH]3(OC(O2)C(F)(F)F)OC(O1)C(F)(F)F)C(F)(F)F" "Bi1O1O1O1O1" "https://doi.org/10.1021/jacs.1c06414"
"30" "RhMan0925-CMP70" "C9H20BiO8Rh" "6423" 298 "CD3CN" 568.1362 9 0 1 8 "COC(O[Rh]123OC(O[BiH]3(OC(O2)C)OC(O1)C)C)C" "Bi1O1O1O1O1" "https://doi.org/10.1021/jacs.1c06414"
"31" "RhMan0925-CMP71" "C5H12BiO8Rh" "6445" 298 "CD3CN" 512.02988 5 0 1 8 "COCO[Rh]123OCO[BiH]3(OCO2)OCO1" "Bi1O1O1O1O1" "https://doi.org/10.1021/jacs.1c06414"
"32" "RhMan0925-CMP72" "C33H48BiO8Rh" "6323" 298 "THF-d8" 884.615320000001 33 0 1 8 "COC1O[Rh]234OC(O[BiH]54OC(O3)C(C)(C)Cc3cc(CC(C(O2)O5)(C)C)ccc3)C(C)(C)Cc2cc(CC1(C)C)ccc2" "Bi1O1O1O1O1" "https://doi.org/10.1021/jacs.1c06414"
"33" "RhMan0925-CMP73" "C42H24F7PRh" "695" 298 "CD2Cl2" 795.5080434 42 0 1 0 "Fc1ccc(cc1)P([Rh]12345678(=C9C6C4C5C7C89c4ccccc4)C4=C3C3C2=C1C4c1c3c(F)c(c(c1F)F)F)(c1ccc(cc1)F)c1ccc(cc1)F" "C2C1C1C1C1C1C1C1C1C1P1" "https://doi.org/10.1021/acs.macromol.1c00906"
"34" "RhMan0925-CMP74" "C17H36P2Rh" "-796" 298 "C6D5Br" 405.320762 17 0 1 0 "CP([Rh]12345(C6C3(C2(C5(C1(C46C)C)C)C)C)P(C)(C)C)(C)C" "C1C1C1C1C1C1P1P1" "https://doi.org/10.1002/chem.202003167"
"35" "RhMan0925-CMP75" "C50H51BF23LiP2Rh" "-892" 298 "C6D5Br" 1271.5082356 50 0 1 0 "CP([Rh]12345([Li])(C6C3(C2(C5(C1(C46C)C)C)C)C)P(C)(C)C)(C)C.CC(c1cc(cc(c1)C(F)(F)F)[B](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(F)F" "C1C1C1C1C1C1P1P1Li9" "https://doi.org/10.1002/chem.202003167"
"36" "RhMan0925-CMP76" "C50H51BF23NaP2Rh" "-893" 298 "C6D5Br" 1287.5570056 50 0 1 0 "CP([Rh]12345([Na])(C6C3(C2(C5(C1(C46C)C)C)C)C)P(C)(C)C)(C)C.CC(c1cc(cc(c1)C(F)(F)F)[B](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(F)F" "C1C1C1C1C1C1P1P1Na9" "https://doi.org/10.1002/chem.202003167"
"37" "RhMan0925-CMP78" "C29H36F10P2RhZn" "-986" 298 "C6D6" 804.813194 29 0 1 0 "Fc1c(F)c(F)c(c(c1[Zn]([Rh]12345(C6C3(C2(C5(C1(C46C)C)C)C)C)(P(C)(C)C)P(C)(C)C)c1c(F)c(F)c(c(c1F)F)F)F)F" "C1C1C1C1C1C1P1P1Zn9" "https://doi.org/10.1002/chem.202003167"
